typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"S","A","20000101","2000","52","2000","40","AUT","Austria","X","Export","410","KOR","Rep. of Korea","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","14888000",,"14888000","0","true","false",
"S","A","20000101","2000","52","2000","40","AUT","Austria","X","Export","392","JPN","Japan","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","106077000",,"106077000","0","true","false",
"S","A","20000101","2000","52","2000","40","AUT","Austria","X","Export","380","ITA","Italy","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","1169638500",,"1169638500","0","true","false",
"S","A","20000101","2000","52","2000","40","AUT","Austria","X","Export","376","ISR","Israel","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","40011500",,"40011500","0","true","false",
"S","A","20000101","2000","52","2000","40","AUT","Austria","X","Export","372","IRL","Ireland","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","120034500",,"120034500","0","true","false",
"S","A","20000101","2000","52","2000","40","AUT","Austria","X","Export","364","IRN","Iran","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","101424500",,"101424500","0","true","false",
"S","A","20000101","2000","52","2000","40","AUT","Austria","X","Export","360","IDN","Indonesia","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","13957500",,"13957500","0","true","false",
"S","A","20000101","2000","52","2000","40","AUT","Austria","X","Export","352","ISL","Iceland","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","5583000",,"5583000","0","true","false",
"S","A","20000101","2000","52","2000","40","AUT","Austria","X","Export","348","HUN","Hungary","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","596450500",,"596450500","0","true","false",
"S","A","20000101","2000","52","2000","40","AUT","Austria","X","Export","344","HKG","China, Hong Kong SAR","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","53969000",,"53969000","0","true","false",
"S","A","20000101","2000","52","2000","40","AUT","Austria","X","Export","300","GRC","Greece","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","63274000",,"63274000","0","true","false",
"S","A","20000101","2000","52","2000","40","AUT","Austria","X","Export","862","VEN","Venezuela","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","2791500",,"2791500","0","true","false",
"S","A","20000101","2000","52","2000","40","AUT","Austria","X","Export","842","USA","USA","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","1202206000",,"1202206000","0","true","false",
"S","A","20000101","2000","52","2000","40","AUT","Austria","X","Export","826","GBR","United Kingdom","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","1779116000",,"1779116000","0","true","false",
"S","A","20000101","2000","52","2000","40","AUT","Austria","X","Export","818","EGY","Egypt","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","26984500",,"26984500","0","true","false",
